Rank,Module genes,Cancer type,p,FDR
289,"ANAPC13, ANAPC15, ANAPC5, CDC16, DCTN2, DYNC1LI2, GSG2, MAD2L1BP, PRPF39, SGOL1, SGOL2, SKA1, SKA3, SPAG5, TRNAU1AP, UBE2C, UBE2S",Endometrium,0.000139,0.070163
290,"DIAPH1, FLII, PFN1, TMOD3",Pancreas,0.000139,0.0305
291,"FLII, LRRFIP2, MYL6, TMOD3",Pancreas,0.00014,0.0305
292,"GPR45, INPP4A, LYG1, PSD4, RNF149, TBC1D8",Endometrium,0.000142,0.070163
293,"ARL5C, FKBP10, GSDMB, HAP1, JUP, KLHL10, KLHL11, TMSB10",Large intestine,0.000144,0.037648
294,"CSNK2A1, CSNK2A2, CSNK2A3, CSNK2B, KANSL3, KIDINS220, PAX8, XPR1",Endometrium,0.000152,0.070163
295,"CYP2W1, ELFN1, GPER1, GPR146, MICALL2, MMD2, PDGFA, PRKAR1B, SNX8",Thyroid,0.000162,0.019691
296,"ARGLU1, CDC16, FSTL5, OR13A1, PCID2, RD3, TUBGCP3",Endometrium,0.000171,0.070163
297,"AHCYL1, MAPK6, MAPKAPK5, SLC4A7",Liver,0.000174,0.075764
298,"ACTR1A, DYNC1LI1, DYNC1LI2, DYNLRB1, GSG2, MAD2L1BP, NDE1, PAFAH1B1, SGOL1, SPAG5, UBE2C, UBE2S, ZWINT",Endometrium,0.000174,0.070163
299,"HAND2, INSM2, ISL1, PHOX2B",Skin,0.00018,0.01806
300,"BRAF, MAPK1, SOX10, SOX9",Haematopoietic/lymphoid,0.000182,0.038247
301,"BRAF, DUSP4, PEA15, SOX10",Haematopoietic/lymphoid,0.000183,0.038247
302,"MITF, SOX10, TFAP2A, ZEB2",Haematopoietic/lymphoid,0.000183,0.038247
303,"ARHGAP29, ASH1L, CBLB, CCNE1, FERMT2, KIDINS220, MECOM, PAX8, SOX17, XPR1",Endometrium,0.000189,0.070573
304,"COL1A1, EIF2AK3, PRKCQ, SH2B3, SIRT4",Thyroid,0.00019,0.022573
305,"A2M, A2ML1, ABCC9, ACRBP, ACSM4, ACVR1B, ACVRL1, ADIPOR2, AEBP2, AICDA, AK4, AKAP3, ALG10, AMN1, ANKRD13B, ANKRD33, APOBEC1, APOLD1, ARF3, ARHGDIB, ARNTL2, ART4, ASIC1, ASPHD1, ATF1, ATF7IP, ATN1, B4GALNT3, BBIP1, BCAT1, BCDIN3D, BCL2L14, BHLHE41, BICD1, C12orf10, C12orf4, C12orf5, C12orf57, C12orf60, C12orf71, C12orf77, C1RL, C1S, C2CD5, C2orf76, C3AR1, C3orf33, CACNA1C, CACNA2D4, CAPRIN2, CAPZA3, CASC1, CBLB, CCDC77, CCDC91, CCND2, CD163, CD163L1, CD27, CD4, CD69, CD9, CDKN1B, CERS5, CLEC12A, CLEC12B, CLEC1A, CLEC1B, CLEC2A, CLEC2B, CLEC2D, CLEC4A, CLEC4C, CLEC4D, CLEC4E, CLEC6A, CLEC7A, CLEC9A, CLECL1, CLOCK, CLSTN3, CMAS, COL2A1, COPS7A, CPB1, CPLX4, CRACR2A, CREBL2, CSAD, CSRNP2, DAAM1, DCP1B, DENND5B, DERA, DNAJC14, DPPA3, DRD4, DUSP16, DYRK4, EMP1, ENO2, EPS8, ERC1, ERGIC2, ERP27, ETNK1, ETV6, EYA4, FAIM2, FAM186A, FAM222B, FAM60A, FAM69C, FAR2, FBXL14, FGD4, FGF20, FGF23, FGF6, FGFR1OP2, FKBP4, FLVCR2, FOXJ2, GABARAPL1, GALNT8, GDF3, GNB3, GOLT1B, GPR162, GPR19, GPRC5A, GPRC5D, GRASP, GRIN2B, GSG1, GUCY2C, GYS2, H2AFJ, H3F3C, HADHA, HDAC7, HEBP1, HIGD1C, HIST4H4, HOXC12, HTR7, IAPP, IDUA, IFFO1, IGFBP6, IL12RB2, IL17RE, ING4, IPO8, IQSEC3, ITFG2, ITPR2, KCNA1, KCNA5, KCNA6, KCNJ8, KDM5A, KIAA1467, KIAA1551, KIF5A, KLHL3, KLHL42, KLRB1, KLRC1, KLRC2, KLRC4, KLRD1, KLRF1, KLRF2, KLRG1, KLRK1, KRAS, KRBA2, KRT4, KRT5, KRT6B, KRT75, KRT77, KRT78, KRT79, KRT82, KRT83, KRT84, KRT86, LACRT, LAG3, LALBA, LDHB, LIMA1, LMNTD1, LMO3, LOH12CR1, LPAR5, LPCAT3, LRMP, LRP5, LRP6, LRRC23, LRRC70, LRTM2, LTBR, M6PR, MAATS1, MANSC1, MANSC4, MAPK4, METTL20, METTL7B, MFAP5, MGP, MGST1, MGST3, MLF2, MRO, MRPL51, MRPS35, NANOG, NDUFA4L2, NDUFA9, NECAP1, NINJ2, NPPB, NR4A1, NRIP2, NSUN6, NTF3, OCIAD1, OCLM, OLR1, OR10P1, OR51A7, PARP11, PARP15, PARPBP, PCED1B, PDE3A, PDE6H, PDYN, PEX5, PHC1, PIANP, PIK3C2G, PKP2, PLBD1, PLCL2, PLCZ1, PLEKHA5, PLEKHG6, PLS1, POLI, POU6F1, PPFIBP1, PPP1R1A, PRB1, PRB2, PRB4, PRH2, PRKAG1, PRMT8, PRPF40B, PRR4, PTHLH, PTMS, PTPN6, PTPRO, PZP, RAB5A, RAD51AP1, RAD54B, RASSF8, RBP5, RECQL, REP15, RERG, RERGL, RIMKLB, SAR1B, SCNN1A, SENP1, SERPINB7, SH3GLB1, SLC2A14, SLC2A3, SLC4A5, SLC4A8, SLC6A12, SLC6A13, SLCO1A2, SLCO1B1, SLCO1B3, SLCO1B7, SLCO1C1, SMCO2, SMCO3, SOAT2, SOX5, SPAG1, SPSB2, SPX, SSPN, ST8SIA1, STK38L, STYK1, SYT10, TAPBPL, TAS2R10, TAS2R13, TAS2R14, TAS2R19, TAS2R20, TAS2R30, TAS2R31, TAS2R43, TAS2R46, TAS2R50, TAS2R7, TAS2R8, TAS2R9, TATDN1, TDG, TEAD4, TEX30, TF, TM7SF3, TMEM106C, TMEM52B, TMPRSS12, TMTC1, TNFRSF1A, TNFRSF9, TRIM60, TSPAN11, TSPAN9, TULP3, UGDH, UGT3A1, UTS2B, VAMP1, VWF, WNT5B, YBX3, ZBBX, ZNF117, ZNF12, ZNF384, ZNF519, ZNF641, ZNF654, ZNF655, ZNF732, ZNF846",Large intestine,0.000192,0.047762
306,"C5orf15, CCNH, SIPA1L3, SLC25A46, TBX5, TDO2",Kidney,0.000196,0.035395
307,"BCL9L, LDB1, PYGO2, ZMIZ1",Autonomic ganglia,0.000203,0.028672
308,"ASH1L, BRPF1, LDB1, PYGO2",Autonomic ganglia,0.000203,0.028672
309,"BEST2, CNN1, DAND5, DNASE2, ELAVL3, KLF1, MAST1, STX10, SYCE2, WDR83OS, ZNF441, ZNF490",Thyroid,0.000203,0.023619
310,"ALG12, ALG3, ALG5, ALG6, ALG8, ALG9, ARF4, ATP13A1, ATP2C1, AUP1, BATF3, BCL10, BIRC2, C1orf27, CARD10, CCDC134, CCND2, CDK5RAP3, CFLAR, CHUK, CNPY2, CYLD, DDRGK1, DERL2, DMXL1, DNAJB11, DNAJC3, DOLK, DOLPP1, DPM1, DPM2, DPM3, ERN1, FAF2, FURIN, GANAB, GPAA1, HERPUD1, HMHA1, HSP90B1, IGF1R, IKBKB, IKZF1, IKZF3, IL1R1, IL1RAP, IRF4, IRS1, JAGN1, MALT1, MANF, MAP3K7, MEF2C, MOGS, MPDU1, MPI, MYD88, N4BP1, NCOA5, NFKB1, NFKB2, NFKBIA, NFKBIB, OST4, OSTC, PCBP2, PDIA6, PGAP1, PGAP2, PIGC, PIGK, PIGM, PIGN, PIGO, PIGP, PIGQ, PIGS, PIGT, PIGU, PIGV, PIGW, PIGY, PMM2, POU2AF1, PRDM1, PRKCSH, PTPN2, RBCK1, RELA, RELB, RIPK1, RNF31, SEC23IP, SEC62, SEC63, SEL1L, SERP1, SLC33A1, SMAD7, STT3A, STUB1, SURF4, SYVN1, TAB2, TCF3, TM9SF3, TMEM41B, TNFAIP3, TNIP1, TRAF2, TRAF3, TRAF5, TRAF6, UBA5, UBALD2, UBE2G2, UBE2J1, UBE2L3, UBE2N, UFC1, UFL1, UFM1, UFSP2, UGP2, VAPA, XBP1, ZNF296, ZNF638",Haematopoietic/lymphoid,0.000207,0.041656
311,"AAR2, ACTL10, ADA, ADIG, ADNP, ASIP, ASXL1, ATP9A, BCAS4, BLCAP, BPI, BPIFA1, BPIFA2, BPIFA3, BPIFB1, BPIFB2, BPIFB3, BPIFB4, BPIFB6, C20orf144, C20orf173, C20orf24, CBFA2T2, CCM2L, CD40, CDH22, CDK5RAP1, CEBPB, CEP250, CHD6, CNBD2, COMMD7, COX4I2, CPNE1, CTSA, CTSZ, DEFB115, DEFB116, DEFB118, DEFB119, DEFB121, DEFB123, DEFB124, DLGAP4, DNMT3B, DUSP15, EDEM2, EPB41L1, EPPIN, ERGIC3, FAM209A, FAM65C, FAM83C, FOXS1, GDAP1L1, GDF5, GGT7, GHRH, GSS, GTSF1L, HCK, HM13, ID1, IFT52, ITCH, JPH2, KCNB1, KCNK15, KCNS1, KIAA1755, KIF3B, L3MBTL1, LBP, LPIN3, MANBAL, MAP1LC3A, MATN4, MMP24, MMP9, MTRNR2L3, MYH7B, MYL9, MYLK2, NCOA3, NCOA6, NECAB3, NNAT, NOL4L, OCSTAMP, OSER1, PABPC1L, PCIF1, PHF20, PI3, PIGU, PKIG, PLAGL2, PLTP, POFUT1, PPP1R16B, PREX1, PROCR, PTGIS, PTPRT, PXMP4, R3HDML, RALY, RBL1, RBPJL, REM1, RIMS4, RNF114, SAMHD1, SCAND1, SDC4, SERINC3, SGK2, SLA2, SLC12A5, SLC13A3, SLC2A10, SLC32A1, SLC35C2, SLPI, SNTA1, SOGA1, SPAG4, SPATA2, SPATA25, SPINT3, SPINT4, SRC, SRSF6, STAU1, STK4, SULF2, SUN5, TFAP2C, TGIF2, TGM2, TLDC2, TM9SF4, TNNC2, TOMM34, TOX2, TP53INP2, TP53TG5, TRPC4AP, TSHZ2, TTLL9, TTPAL, VSTM2L, WFDC10A, WFDC10B, WFDC11, WFDC12, WFDC13, WFDC2, WFDC3, WFDC5, WFDC6, WFDC8, WFDC9, WISP2, XKR7, YWHAB, ZFP64, ZHX3, ZNF341, ZNFX1, ZSWIM1, ZSWIM3",Skin,0.000207,0.020449
312,"ACTR1A, ANAPC13, ANAPC15, ANAPC5, DCTN2, DYNC1LI2, GSG2, MAD2L1BP, NDE1, SGOL1, SGOL2, SKA1, SKA3, SPAG5, TRNAU1AP, UBE2C, UBE2S",Endometrium,0.000209,0.072857
313,"ARL13B, DNAJB8, OR5K3, STX19, ZPLD1",Bone,0.000213,0.062061
314,"C3orf52, FAM162A, KIAA1257, OR5K3, WDR5B",Bone,0.000213,0.062061
315,"CD3EAP, MAK16, MRTO4, POLR1A, POLR1B, POLR1E, PWP1, RPF2, RRP1, TAF1D, TCOF1, TMEM82, TOP1, ZNRD1",Thyroid,0.000213,0.024262
316,"APITD1, C19orf40, EXO1, FANCM",Bone,0.000214,0.062061
317,"HP, HPR, HSD17B7, ZNF705A",Large intestine,0.000216,0.051434
318,"HAND2, HDAC2, INSM2, ISL1, TFAP2B",Skin,0.000225,0.021745
319,"BRAF, MAPK1, MITF, NFATC2, SOX10",Haematopoietic/lymphoid,0.000228,0.044179
320,"RPL15, RPL17, RPL18A, RPL23, RPS15A",Endometrium,0.000231,0.075611
321,"BCL10, CARD10, CHUK, CYLD, MALT1",Kidney,0.000237,0.038785
322,"AARD, ABRA, ADAM2, ADCK5, ADCY8, ADHFE1, ADRB3, AGO2, ANGPT1, ANK1, ANKRD46, ANXA13, AP3M2, ARC, ARFGEF1, ARHGAP39, ASAP1, ASB3, ASPH, ATAD2, ATP6V0D2, ATP6V1C1, AZIN1, BAALC, BAG4, BAI1, BHLHE22, BOP1, C8orf22, C8orf33, C8orf34, C8orf37, C8orf44, C8orf46, C8orf76, C8orf82, C8orf88, C9orf171, C9orf50, CA1, CA13, CA2, CA3, CA8, CALB1, CCDC166, CCNE2, CDH17, CDK5, CEBPD, CHCHD2, CHCHD7, CHMP4C, CHRAC1, CHRNB3, CLIC3, CLVS1, CNBD1, CNGB3, COL14A1, COL22A1, COLEC10, COMMD5, COX6C, CPA6, CPNE3, CPQ, CRH, CRISPLD1, CRYBB3, CSMD3, CSPP1, CTHRC1, CTRB2, CYC1, CYHR1, CYP11B1, CYP11B2, CYP7A1, DCAF13, DCAF4L2, DCSTAMP, DCXR, DECR1, DENND3, DEPDC1, DEPTOR, DERL1, DGAT1, DNAJC5B, DPY19L4, DPYS, DSTN, DUSP1, DVL3, E2F5, EAF2, EBAG9, ECE2, EEF1D, EFCAB1, EIF4EBP1, ELF3, EMC2, ENPP2, ERICH5, ESRP1, EXT1, EYA1, FABP12, FABP4, FAM110B, FAM110D, FAM135B, FAM150A, FAM49B, FAM83A, FAM83H, FAM84B, FAM91A1, FAM92A1, FAXC, FBXL6, FBXO32, FBXO38, FBXO43, FER1L6, FGFR3, FOXH1, FSBP, FUT10, FZD3, FZD6, GABRP, GDAP1, GDF6, GEM, GGH, GIT2, GLI4, GML, GNAS, GNPNAT1, GPAA1, GPIHBP1, GPR124, GPR20, GPT, GRHL1, GRHL2, GRINA, GSDMC, GSDMD, H2AFY2, HAS2, HDHD2, HEY1, HGH1, HGSNAT, HNF4G, HRSP12, HSD17B4, HSF1, HTR3E, HTRA4, IDO1, IL7, IMPA1, IMPAD1, INTS8, JPH1, KCNB2, KCNK9, KCNQ3, KCNS2, KCNV1, KHDRBS3, KIAA0196, KIFC2, KLF10, KLHL38, LACTB2, LAPTM4B, LETM2, LRP12, LRRC14, LRRC24, LRRC6, LRRCC1, LSM1, LY6D, LY6E, LY6H, LY6K, LY96, LYN, LYNX1, LYPD2, LYPLA1, MAF1, MAFA, MAPK15, MATN2, MCMDC2, MFSD3, MINOS1, MMP16, MOS, MROH1, MROH6, MRPL13, MRPL15, MRPS28, MSMP, MSRA, MT2A, MTDH, MTERF3, MTFR1, MTSS1, MYBL1, NAPRT, NBN, NCALD, NCOA2, NDRG1, NDUFAF6, NDUFB9, NECAB1, NETO2, NFKBIA, NIPAL2, NKAIN3, NKX6-3, NLRP1, NLRP13, NOV, NPBWR1, NRBP2, NSMAF, NSMCE2, NTAN1, NUDCD1, OC90, ODF1, OPRK1, OSGIN2, OSR2, OTP, OTUD6B, OXR1, PAG1, PARP10, PCMTD1, PDE7A, PDP1, PENK, PEX2, PHF20L1, PI15, PKHD1L1, PKIA, PLAG1, PLAT, PLEC, PLEKHF2, PLXNC1, PMP2, POMK, POP1, POU5F1B, PPP1R16A, PPP1R42, PRDM14, PREX2, PRSS55, PSCA, PSKH2, PTDSS1, PTP4A3, PXDNL, PYCRL, RAB2A, RAD54B, RALYL, RB1CC1, RBM12B, RDH10, RFPL4AL1, RGS20, RGS22, RHPN1, RIMS2, RIPK2, RMDN1, RNF139, RNF170, RNF19A, RP1, RPL30, RRM2B, RSPO2, RUNX1T1, SAMD12, SBSPON, SCRIB, SCRT1, SCX, SDC2, SDCBP, SDR16C5, SEPT10, SFRP1, SGK3, SHARPIN, SLA, SLC10A5, SLC16A3, SLC22A4, SLC25A32, SLC26A7, SLC30A8, SLC39A4, SLC45A4, SLC52A2, SLC7A13, SLCO5A1, SLURP1, SMLR1, SMPD2, SNAI2, SNTB1, SNTG1, SNX16, SNX31, SOX17, SOX5, SPAG1, SPATC1, SPIDR, SQLE, ST18, ST3GAL1, STAR, STAU2, STK3, STMN2, SULF1, SYBU, TACC1, TATDN1, TBC1D2, TBC1D31, TBCK, TCEA1, TCF24, TERF1, TFAP2C, TG, THEM6, TIGD5, TMEM249, TMEM55A, TMEM64, TMEM65, TMEM67, TMEM68, TMEM69, TMEM70, TMEM71, TMEM74, TNFRSF11B, TOP1MT, TOX, TP53INP1, TPD52, TPM4, TRAM1, TRAPPC9, TRHR, TRIB1, TRIM55, TRIM60, TRMT12, TRPA1, TRPS1, TSNARE1, TSTA3, TTPA, TXNDC2, UBE2V2, UBE2W, UBXN2B, UQCRB, VCPIP1, VPS13B, VPS28, WDYHV1, WISP1, WWP1, XKR4, XKR9, YWHAZ, ZBTB10, ZC2HC1A, ZC3H3, ZFAND1, ZFAT, ZFHX4, ZFP41, ZFPM2, ZHX1, ZHX2, ZMAT4, ZNF16, ZNF250, ZNF318, ZNF34, ZNF395, ZNF517, ZNF572, ZNF623, ZNF679, ZNF696, ZNF7, ZNF704, ZNF706, ZNF707",Large intestine,0.000238,0.054198
323,"ARFRP1, ARL1, ARL5B, ASNA1, B3GALT6, B3GAT3, B4GALT7, BATF3, C3orf58, CBL, CCND3, CLEC16A, CNIH1, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COG8, COPE, EGFR, EXT1, EXT2, EXTL3, FAM160B1, FAM20B, FGFR1, FRS2, GAB1, GAB2, GET4, GLCE, GOLGA2, GOSR1, GOSR2, GPR107, GRB2, HS2ST1, IKZF1, IRF4, JTB, JUNB, LZTR1, MYB, NBAS, NDST1, NDST2, NEDD4L, NF1, PAPSS1, PI4KB, PTAR1, PTPN1, PTPN11, PTPN2, RAB18, RAB1A, RAB1B, RAB2A, RAB6A, RASA2, RGP1, RIC1, RIT1, RORC, RRAS2, SAR1A, SBNO2, SCFD1, SEC23IP, SEC31A, SHOC2, SLC10A7, SLC35B2, SLC39A9, SOS1, SOS2, SP110, SPRED2, STAT3, SURF4, SYS1, TM9SF2, TM9SF3, TMED10, TMED7, TMEM165, TRAPPC1, TRAPPC11, TRAPPC12, TRAPPC13, TRAPPC2L, TRAPPC4, TRAPPC5, TRAPPC8, TRIP11, TSSC1, UGDH, UNC50, VPS51, VPS52, VPS53, VPS54, WRB, XYLT2, YKT6, ZFAT",Kidney,0.000241,0.038785
324,"AHCYL1, ALG12, ALG3, ALG5, ALG6, ALG8, ALG9, ARF1, ARF4, ATP2C1, AUP1, BAMBI, C19orf25, C1orf27, CCDC134, CDK5RAP3, CLEC16A, CNPY2, COG1, COG3, CPD, CTBP1, DDRGK1, DERL1, DERL2, DMXL1, DNAJB11, DNAJC21, DNAJC3, DOLK, DOLPP1, DPM1, DPM2, DPM3, EFTUD1, ERN1, FAF2, FBXO22, FURIN, GANAB, HERPUD1, HNF1A, HNF4A, HSP90B1, IGF1R, IKBKB, IKZF3, IRF4, IRS1, IRS2, KBTBD2, LIN28B, MANF, MAPK6, MAPKAPK5, MARCH6, MEF2C, MPDU1, MPI, NFE2L2, NFKB1, OST4, OSTC, PDIA6, PIGV, PMM2, POU2AF1, PPP1R15B, PRDM1, PRKCSH, PTP4A1, RAB1A, RAB1B, SEC23IP, SEC62, SEC63, SEL1L, SERP1, SLC25A33, SLC33A1, SLC39A9, SLC4A7, SMAD7, STT3A, SURF4, SYVN1, TCF3, TM9SF3, TMED2, TMEM245, TMEM41B, TRAPPC12, TRAPPC13, TRIB1, TRIM71, TRIP11, TRPM7, UBA5, UBE2G2, UBE2J1, UFC1, UFL1, UFM1, UFSP2, UGP2, UNC50, VAPA, VPS54, XBP1",Kidney,0.000241,0.038785
325,"ACTL6A, ALG9, ARFRP1, ARL1, ARL5B, ASNA1, BNIP1, C19orf25, C19orf70, CCDC115, CLEC16A, CNIH1, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COG8, COPE, CYB561D2, CYB5B, DPM2, EHBP1, ERC1, FAM160B1, GATA2, GDI2, GET4, GOLGA1, GOLGA2, GOLT1B, GOSR2, GPR107, GPR89A, HAND2, HDAC2, IER3IP1, INPP5K, INSM2, ISL1, JTB, MBTPS1, MEIS2, NAPG, NBAS, PDK1, PHOX2B, PI4KB, PTAR1, RAB18, RAB1A, RAB1B, RAB2A, RAB3GAP1, RAB3GAP2, RAB6A, RABIF, RABL3, RGP1, RIC1, RINT1, SAR1A, SCFD1, SCFD2, SCYL1, SEC23IP, SEC31A, SLC10A7, SLC35B2, SLC39A9, STX16, STX18, SURF4, SYS1, SYVN1, TBC1D20, TBC1D23, TFAP2B, TM9SF2, TM9SF3, TMED10, TMED7, TMEM165, TMEM167A, TRAPPC1, TRAPPC11, TRAPPC12, TRAPPC13, TRAPPC2L, TRAPPC4, TRAPPC5, TRAPPC8, TRIP11, TSSC1, UBE2G2, UBE2J1, UBE3D, UNC50, USE1, VPS51, VPS52, VPS53, VPS54, VTI1A, WRB, YIPF5, YKT6, ZFAT, ZW10",Kidney,0.000245,0.038785
326,"ARFRP1, ARL1, ASNA1, ATP13A1, AUP1, B3GALT6, B3GAT3, B4GALT7, BNIP1, C19orf25, C3orf58, CBL, CLEC16A, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COG8, COL4A3BP, COPE, EXT1, EXT2, EXTL3, FAF2, FAM160B1, FAM20B, FGFR1, FRS2, GDI2, GET4, GLCE, GOLGA2, GOLT1B, GOSR2, GPR107, GRB2, HS2ST1, IER3IP1, INPP5K, IRF2, JTB, LZTR1, MARCH5, MCL1, NAPG, NBAS, NDST1, NDST2, NEDD4L, NF1, PAPSS1, PI4KB, PTAR1, PTPN11, RAB18, RAB1A, RAB1B, RAB2A, RAB3GAP1, RAB3GAP2, RAB6A, RER1, RGP1, RIC1, RINT1, SCFD1, SCYL1, SEC23IP, SLC10A7, SLC35B2, SLC39A9, SOS1, SPRED1, SPRED2, SPTLC2, SPTSSA, STX18, SURF4, SYS1, SYVN1, TBC1D20, TM2D1, TM2D2, TM2D3, TM9SF2, TM9SF3, TMED7, TMEM165, TMEM167A, TRAPPC1, TRAPPC11, TRAPPC12, TRAPPC13, TRAPPC2L, TRAPPC4, TRAPPC5, TRAPPC8, TRIP11, TSSC1, UGDH, UNC50, USE1, VPS51, VPS52, VPS53, VPS54, WRB, XYLT2, YIPF5, YKT6, ZFAT, ZW10",Kidney,0.000253,0.038897
327,"CHST2, CLDND1, GPR128, OR5AC2, OR5K1, OR5K3",Bone,0.000257,0.062842
328,"CLDND1, GPR15, OR5H2, OR5H6, OR5K3, ST3GAL6",Bone,0.000259,0.062842
329,"ANLN, BEND3, DIAPH3, FLII, RAB35, SEPT11, SEPT2",Pancreas,0.000262,0.054724
330,"ALG12, ALG3, ALG5, ALG6, ALG8, ALG9, ARF4, ARFRP1, ARL1, ASNA1, ATP2C1, AUP1, C19orf25, C1orf27, CCDC134, CCND2, CDK5RAP3, CHUK, CLEC16A, CNPY2, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COG8, DDRGK1, DERL2, DMXL1, DNAJB11, DNAJC21, DNAJC3, DOLK, DOLPP1, DPM1, DPM2, DPM3, EFTUD1, ERN1, FAF2, FURIN, GANAB, GDI2, GET4, GPR107, HERPUD1, HSP90B1, IGF1R, IKBKB, IKZF3, IRF4, IRS1, JTB, MANF, MEF2C, MPDU1, MPI, NBAS, NFKB1, OST4, OSTC, PDIA6, PI4KB, PIGU, PIGV, PMM2, POU2AF1, PPP1R15B, PRDM1, PRKCSH, PTAR1, RAB18, RAB1A, RAB1B, RAB2A, RAB6A, RELA, RELB, RGP1, RIC1, SCFD1, SCYL1, SEC23IP, SEC62, SEC63, SEL1L, SERP1, SLC10A7, SLC33A1, SLC35B2, SLC39A9, SMAD7, STT3A, SURF4, SYS1, SYVN1, TCF3, TM9SF3, TMED2, TMEM165, TMEM41B, TRAPPC11, TRAPPC12, TRAPPC13, TRAPPC2L, TRAPPC4, TRIP11, TSSC1, UBA5, UBALD2, UBE2G2, UBE2J1, UFC1, UFL1, UFM1, UFSP2, UGP2, UNC50, VPS51, VPS52, VPS53, VPS54, WRB, XBP1, ZFAT",Kidney,0.000281,0.041727
331,"ALG12, ALG3, ALG5, ALG6, ALG8, ALG9, ARFRP1, ARL1, ASNA1, ATP13A1, AUP1, B3GALT6, B3GAT3, B4GALT7, BMPR1A, C1orf27, C3orf58, CLEC16A, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COG8, COL4A3BP, COPE, DERL2, DNAJB11, DNAJC3, DPM1, DPM2, DPM3, EFNA5, EXT1, EXT2, EXTL3, FAF2, FAM160B1, FAM20B, FGFR1, FRS2, GANAB, GET4, GLCE, GPAA1, GRB2, HERPUD1, HS2ST1, IPO8, JTB, LRIG3, MANF, MGAT1, MOGS, MPDU1, NDST1, NDST2, NEDD4L, NEO1, PAPSS1, PGAP1, PGAP2, PI4KB, PIGC, PIGH, PIGK, PIGL, PIGM, PIGN, PIGO, PIGP, PIGQ, PIGS, PIGT, PIGU, PIGV, PIGW, PIGY, PRKCSH, PTAR1, PTPN11, RAB1A, RAB1B, RAB2A, RAB6A, RGMB, RGP1, RIC1, SCFD1, SEC23IP, SEC63, SEL1L, SLC10A7, SLC33A1, SLC35B2, SLC39A9, SMAD4, SURF4, SYS1, SYVN1, TGFBR2, TM9SF2, TM9SF3, TMEM165, TMEM41B, TRAPPC1, TRAPPC11, TRAPPC12, TRAPPC13, TRAPPC2L, TRAPPC4, TRAPPC5, TRIP11, TSSC1, UBE2G2, UBE2J1, UFL1, UFSP2, UGDH, UGP2, UNC50, VPS51, VPS52, VPS53, VPS54, WRB, XYLT2, YKT6",Kidney,0.000287,0.041727
332,"ADRB3, ASH2L, BRAT1, BRF2, CHMP7, DCTN6, ELP3, FNTA, GINS4, GTF2E2, INTS9, LEMD2, MAK16, POLR3D, PPP2CA, PPP2CB, TTI2, VPS37A, WDR73",Thyroid,0.00029,0.032211
333,"ANLN, DIAPH3, ECT2, FLII, KIF20A, RAB35, SEPT11, SEPT2",Pancreas,0.000299,0.060149
334,"CLDND1, DCBLD2, GPR128, IMPG2, NIT2, OR5K1, OR5K3",Bone,0.0003,0.062842
335,"CLDND1, LNP1, MAATS1, OR5K3, PROS1, ST3GAL6, TMPRSS7",Bone,0.000301,0.062842
336,"CLDND1, FILIP1L, IMPG2, LNP1, OR5K3, PROS1, ST3GAL6",Bone,0.000302,0.062842
337,"CLDND1, GPR15, HSPBAP1, MINA, OR5H2, OR5K3, ST3GAL6",Bone,0.000303,0.062842
338,"ASNA1, C10orf76, CLEC16A, COG1, COG2, COG3, COG4, COG5, COG6, COG7, COG8, COL4A3BP, GET4, PI4KB, PTAR1, RAB1A, RAB1B, RAB2A, SLC10A7, SLC35B2, SLC39A9, SPTLC2, SPTSSA, TM9SF2, TM9SF3, TRAPPC13, TRIP11, UNC50, VPS52, VPS54",Kidney,0.00032,0.043696
